ISS024-E-6001,-10.7,-48.6
ISS024-E-6002,-11.3,-48.1
ISS024-E-6003,-12.0,-47.6
ISS024-E-6004,-12.5,-47.2
ISS024-E-6005,-13.2,-46.7
ISS024-E-6006,-13.8,-46.2
ISS024-E-6007,-14.3,-45.8
ISS024-E-6008,-14.8,-45.5
ISS024-E-6009,-15.3,-45.1
ISS024-E-6010,-15.8,-44.7
ISS024-E-6011,-16.4,-44.2
ISS024-E-6012,-16.7,-43.9
ISS024-E-6013,-17.2,-43.5
ISS024-E-6014,-17.8,-43.1
ISS024-E-6015,-18.3,-42.7
ISS024-E-6016,-18.8,-42.3
ISS024-E-6017,-19.4,-41.7
ISS024-E-6018,-19.9,-41.3
ISS024-E-6027,34.6,-110.9
ISS024-E-6028,33.0,-109.0
ISS024-E-6029,32.0,-107.8
ISS024-E-6030,30.9,-106.5
ISS024-E-6031,30.3,-105.8
ISS024-E-6032,29.6,-105.1
ISS024-E-6033,28.9,-104.4
ISS024-E-6034,28.2,-103.6
ISS024-E-6035,27.5,-102.9
ISS024-E-6036,26.8,-102.2
ISS024-E-6037,26.1,-101.5
ISS024-E-6038,25.4,-100.8
ISS024-E-6039,24.6,-100.2
ISS024-E-6040,23.9,-99.5
ISS024-E-6041,23.2,-98.8
ISS024-E-6042,22.5,-98.2
ISS024-E-6043,21.5,-97.3
ISS024-E-6044,20.3,-96.3
ISS024-E-6045,19.3,-95.5
ISS024-E-6046,18.6,-94.9
ISS024-E-6047,17.9,-94.3
ISS024-E-6048,17.0,-93.6
ISS024-E-6049,16.2,-92.9
ISS024-E-6050,15.5,-92.4
ISS024-E-6051,14.8,-91.8
ISS024-E-6052,13.8,-91.1
ISS024-E-6053,13.0,-90.5
ISS024-E-6054,11.9,-89.7
ISS024-E-6055,11.5,-89.3
ISS024-E-6056,10.9,-88.9
ISS024-E-6057,9.9,-88.2
ISS024-E-6058,9.4,-87.8
ISS024-E-6059,8.8,-87.3
ISS024-E-6060,7.9,-86.7
ISS024-E-6061,7.2,-86.2
ISS024-E-6062,6.4,-85.6
ISS024-E-6063,5.3,-84.8
ISS024-E-6064,5.1,-84.6
ISS024-E-6065,4.7,-84.4
ISS024-E-6066,4.0,-83.9
ISS024-E-6067,2.6,-82.9
ISS024-E-6068,2.2,-82.6
ISS024-E-6069,1.7,-82.2
ISS024-E-6070,0.4,-81.3
ISS024-E-6071,-0.3,-80.9
ISS024-E-6072,-0.6,-80.7
ISS024-E-6073,-1.5,-80.0
ISS024-E-6074,-2.1,-79.6
ISS024-E-6075,-2.6,-79.2
ISS024-E-6076,-3.4,-78.7
ISS024-E-6077,-4.6,-77.8
ISS024-E-6078,-6.3,-76.6
ISS024-E-6079,-7.0,-76.1
ISS024-E-6080,-7.2,-75.9
ISS024-E-6081,-7.5,-75.7
ISS024-E-6082,-8.0,-75.4
ISS024-E-6083,-8.6,-75.0
ISS024-E-6084,-9.2,-74.5
ISS024-E-6085,-9.4,-74.3
ISS024-E-6086,-9.8,-74.1
ISS024-E-6087,-11.0,-73.2
ISS024-E-6088,-11.6,-72.7
ISS024-E-6089,-12.1,-72.3
ISS024-E-6090,-12.5,-72.0
ISS024-E-6091,-13.2,-71.5
ISS024-E-6092,-14.3,-70.7
ISS024-E-6093,-14.7,-70.4
ISS024-E-6094,-16.2,-69.2
ISS024-E-6095,-17.5,-68.2
ISS024-E-6096,-18.0,-67.8
ISS024-E-6097,-18.9,-67.0
ISS024-E-6098,-19.2,-66.8
ISS024-E-6099,-19.7,-66.3
ISS024-E-6100,-20.4,-65.7
ISS024-E-6101,-20.9,-65.3
ISS024-E-6102,-21.4,-64.9
ISS024-E-6103,-21.9,-64.5
ISS024-E-6104,-22.7,-63.8
ISS024-E-6105,-24.2,-62.4
ISS024-E-6106,-24.7,-61.9
ISS024-E-6107,-25.6,-61.1
