NAME,PER,A,R,FIRSTREF,FIRSTURL,COMP,STAR
KOI 270.02,33.67312,0.201,2.13000000000735,,,02,KOI 270
KOI 1863.01,33.78882,0.211,2.5000000000086273,,,01,KOI 1863
KOI 2481.01,33.8476,0.25,20.600000000071088,,,01,KOI 2481
KOI 1672.01,33.86736,0.176,1.8900000000065218,,,01,KOI 1672
KOI 2721.01,33.87884,0.201,2.200000000007592,,,01,KOI 2721
KOI 1413.03,33.88489,0.197,1.7200000000059352,,,03,KOI 1413
KOI 519.02,34.03544,0.209,2.6000000000089725,,,02,KOI 519
KOI 2080.02,34.06075,0.206,2.800000000009662,,,02,KOI 2080
KOI 3433.01,34.08439,0.188514,6.300000000021741,,,01,KOI 3433
KOI 598.02,34.09638,0.195,1.850000000006384,,,02,KOI 598
KOI 3374.02,34.10739,0.215944,1.3000000000044862,,,02,KOI 3374
KOI 2222.01,34.1323,0.249,4.330000000014942,,,01,KOI 2222
KOI 1837.01,34.17325,0.191,2.5000000000086273,,,01,KOI 1837
KOI 479.01,34.18896,0.204,3.4000000000117327,,,01,KOI 479
KOI 1831.03,34.2069,0.196,1.3000000000044862,,,03,KOI 1831
KOI 481.03,34.26062,0.198,2.7000000000093176,,,03,KOI 481
KOI 1910.01,34.26749,0.191,2.400000000008282,,,01,KOI 1910
KOI 1303.01,34.29834,0.2,4.28000000001477,,,01,KOI 1303
KOI 2062.01,34.35173,0.211,2.5000000000086273,,,01,KOI 2062
KOI 294.01,34.43576,0.212,2.300000000007937,,,01,KOI 294
KOI 2779.01,34.45851,0.214,2.300000000007937,,,01,KOI 2779
KOI 3386.01,34.5259984,0.213507,40.400000000139414,,,01,KOI 3386
KOI 1353.02,34.54363,0.219,3.800000000013113,,,02,KOI 1353
KOI 3437.02,34.75016,0.212298,1.500000000005176,,,02,KOI 3437
KOI 2194.01,34.76359,0.212,1.8400000000063494,,,01,KOI 2194
KOI 815.01,34.84409,0.198,33.00000000011388,,,01,KOI 815
KOI 2012.01,34.85333,0.208,2.7100000000093516,,,01,KOI 2012
KOI 3313.01,34.95247,0.184896,1.7000000000058664,,,01,KOI 3313
KOI 2650.01,34.98804,0.171,1.280000000004417,,,01,KOI 2650
KOI 1917.01,35.01198,0.22,2.7000000000093176,,,01,KOI 1917
KOI 4570.01,35.01767,0.213369,1.7000000000058664,,,01,KOI 4570
KOI 510.04,35.11836,0.199,3.000000000010352,,,04,KOI 510
KOI 513.01,35.18112,0.223,4.000000000013803,,,01,KOI 513
KOI 3284.01,35.23335,0.17077,1.0000000000034508,,,01,KOI 3284
KOI 41.03,35.33314,0.218,1.400000000004831,,,03,KOI 41
KOI 315.01,35.58944,0.188,2.140000000007385,,,01,KOI 315
KOI 308.01,35.59743,0.227,3.1500000000108703,,,01,KOI 308
KOI 1005.01,35.61758,0.193,4.800000000016564,,,01,KOI 1005
KOI 3274.01,35.62161,0.209659,2.320000000008006,,,01,KOI 3274
KOI 1660.01,35.638,0.213,1.9800000000068327,,,01,KOI 1660
KOI 1198.03,35.6756,0.225,2.800000000009662,,,03,KOI 1198
KOI 1236.01,35.74113,0.232,4.300000000014838,,,01,KOI 1236
KOI 3397.01,35.87557,0.227354,2.200000000007592,,,01,KOI 3397
KOI 2365.01,35.96864,0.22,1.7600000000060732,,,01,KOI 2365
KOI 842.02,36.06595,0.187,2.6100000000090064,,,02,KOI 842
KOI 1496.01,36.12846,0.218,11.100000000038305,,,01,KOI 1496
KOI 3396.01,36.26017,0.212811,1.8000000000062115,,,01,KOI 3396
KOI 869.02,36.28011,0.197,3.1000000000106973,,,02,KOI 869
KOI 2487.01,36.2929,0.221,1.9800000000068327,,,01,KOI 2487
KOI 1258.01,36.33767,0.211,4.9000000000169095,,,01,KOI 1258
KOI 3348.01,36.43321,0.214955,2.300000000007937,,,01,KOI 3348
KOI 775.03,36.44591,0.179,1.9600000000067637,,,03,KOI 775
KOI 1959.01,36.51567,0.192,2.200000000007592,,,01,KOI 1959
KOI 1360.01,36.77,0.201,2.53000000000873,,,01,KOI 1360
KOI 523.02,36.85478,0.223,2.9000000000100075,,,02,KOI 523
KOI 954.02,36.92564,0.218,3.1000000000106973,,,02,KOI 954
KOI 2028.02,37.05302,0.211,2.7000000000093176,,,02,KOI 2028
KOI 1359.01,37.10064,0.222,3.5000000000120775,,,01,KOI 1359
KOI 4758.01,37.10915,0.210954,1.8000000000062115,,,01,KOI 4758
KOI 2967.01,37.30322,0.219,2.1800000000075226,,,01,KOI 2967
KOI 2530.01,37.3308,0.222,1.6100000000055559,,,01,KOI 2530
KOI 1301.02,37.51391,0.214,2.3400000000080747,,,02,KOI 1301
KOI 193.01,37.590272,0.225,14.00000000004831,,,01,KOI 193
KOI 2122.01,37.64617,0.217,1.6700000000057627,,,01,KOI 2122
KOI 2217.01,37.80223,0.208,1.9000000000065564,,,01,KOI 2217
KOI 1112.01,37.81062,0.225,2.140000000007385,,,01,KOI 1112
KOI 1412.01,37.81266,0.227,2.5100000000086613,,,01,KOI 1412
KOI 2173.01,37.81526,0.194,1.100000000003796,,,01,KOI 2173
KOI 617.01,37.865195,0.218,39.000000000134584,,,01,KOI 617
KOI 2147.01,37.86589,0.22,1.7500000000060387,,,01,KOI 2147
KOI 3383.01,37.88727,0.211338,2.400000000008282,,,01,KOI 3383
KOI 2285.01,37.94523,0.221,3.5000000000120775,,,01,KOI 2285
KOI 232.04,37.99441,0.226,1.850000000006384,,,04,KOI 232
KOI 2626.01,38.09824,0.178,1.3900000000047965,,,01,KOI 2626
KOI 2288.01,38.10325,0.205,2.400000000008282,,,01,KOI 2288
KOI 3345.01,38.1357,0.233062,1.500000000005176,,,01,KOI 3345
KOI 625.01,38.13819,0.255,47.00000000016219,,,01,KOI 625
KOI 2401.01,38.23021,0.193,1.3500000000046588,,,01,KOI 2401
KOI 1432.04,38.28,0.223,1.6000000000055214,,,04,KOI 1432
KOI 1648.01,38.32527,0.211,1.4100000000048654,,,01,KOI 1648
KOI 773.01,38.37784,0.223,2.300000000007937,,,01,KOI 773
KOI 1997.01,38.50519,0.226,2.5000000000086273,,,01,KOI 1997
