NAME,PER,A,R,FIRSTREF,FIRSTURL,COMP,STAR
HAT-P-41 b,2.694047,0.0425775,18.887132531631675,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,b,HAT-P-41
KELT-3 b,2.70339,0.0412729,15.221795832614728,Pepper 2012,http://arxiv.org/abs/1211.1031,b,KELT-3
WASP-32 b,2.718661,0.0390315,12.32987880403255,Maxted 2010,http://adsabs.harvard.edu/abs/2010PASP..122.1465M,b,WASP-32
WASP-26 b,2.7566,0.0399686,14.795854564839058,Smalley 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..56S,b,WASP-26
HAT-P-16 b,2.77596,0.0413275,14.448376162179958,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,b,HAT-P-16
WASP-49 b,2.7817387,0.0378972,12.498013514996629,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L,b,WASP-49
Kepler-21 b,2.785755,0.0427173,1.6353902886439535,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,b,Kepler-21
HAT-P-5 b,2.788491,0.0407152,14.056061836597106,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...671L.173B,b,HAT-P-5
HAT-P-37 b,2.79736,0.0379273,13.204179301045766,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,b,HAT-P-37
HAT-P-30 b,2.810595,0.0419042,15.02003417945783,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J,b,HAT-P-30
HD 63454 b,2.818049,0.0362523,,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,b,HD 63454
CoRoT-12 b,2.828042,0.0401409,16.1409322525517,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G,b,CoRoT-12
WASP-57 b,2.838971,0.0386362,10.26742634953983,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F,b,WASP-57
HAT-P-20 b,2.875317,0.03616,9.718186293723836,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,b,HAT-P-20
HD 149026 b,2.8758911,0.0431325,7.3306733980338965,Sato 2005,http://adsabs.harvard.edu/abs/2005ApJ...633..465S,b,HD 149026
Kepler-32 e,2.896,0.0323795,1.4986631416879632,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,e,Kepler-32
HAT-P-3 b,2.899703,0.0388252,10.076873677113873,Torres 2007,http://adsabs.harvard.edu/abs/2007ApJ...666L.121T,b,HAT-P-3
HAT-P-13 b,2.91625,0.0426946,14.35870431633245,Bakos 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..446B,b,HAT-P-13
WASP-23 b,2.9444256,0.037022,10.78303946316301,Triaud 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..24T,b,WASP-23
HD 83443 b,2.985698,0.0404623,,Butler 2002,http://adsabs.harvard.edu/abs/2002ApJ...578..565B,b,HD 83443
CoRoT-11 b,2.99433,0.0440549,16.02884244524231,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,b,CoRoT-11
HD 46375 b,3.023573,0.0399038,,Marcy 2000,http://adsabs.harvard.edu/abs/2000ApJ...536L..43M,b,HD 46375
Kepler-43 b,3.024095,0.0449294,13.450776877126417,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,b,Kepler-43
TrES-1 b,3.030065,0.0392516,11.959982439911572,Alonso 2004,http://adsabs.harvard.edu/abs/2004ApJ...613L.153A,b,TrES-1
HAT-P-27 b,3.039577,0.0399488,11.433160345557454,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,b,HAT-P-27
WASP-41 b,3.052401,0.0404959,13.450776877126417,Maxted 2011,http://adsabs.harvard.edu/abs/2011PASP..123..547M,b,WASP-41
HAT-P-4 b,3.056536,0.0443853,14.280241451215879,Kovacs 2007,http://adsabs.harvard.edu/abs/2007ApJ...670L..41K,b,HAT-P-4
WASP-80 b,3.0678504,0.0344696,10.670949655853624,Triaud 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..80T,b,WASP-80
HAT-P-8 b,3.076337,0.0449613,16.81347109640802,Latham 2009,http://adsabs.harvard.edu/abs/2009ApJ...704.1107L,b,HAT-P-8
HD 179949 b,3.092514,0.0439208,,Tinney 2001,http://adsabs.harvard.edu/abs/2001ApJ...551..507T,b,HD 179949
WASP-10 b,3.0927616,0.0384536,12.105699189413777,Christian 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1585C,b,WASP-10
HD 187123 b,3.0965828,0.042091,,Butler 1998,http://adsabs.harvard.edu/abs/1998PASP..110.1389B,b,HD 187123
OGLE-TR-10 b,3.101278,0.0434855,14.01122591367335,Konacki 2005,http://adsabs.harvard.edu/abs/2005ApJ...624..372K,b,OGLE-TR-10
WASP-16 b,3.1186009,0.0417858,11.29865257678619,Lister 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..752L,b,WASP-16
WASP-45 b,3.1260876,0.0405459,13.002417647888867,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A,b,WASP-45
GJ 581 e,3.14945,0.028459,,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...507..487M,e,GJ 581
WASP-35 b,3.161575,0.0431283,14.795854564839058,Enoch 2011,http://adsabs.harvard.edu/abs/2011AJ....142...86E,b,WASP-35
XO-3 b,3.1915426,0.0477112,13.641329549552374,Johns-Krull 2008,http://adsabs.harvard.edu/abs/2008ApJ...677..657J,b,XO-3
HAT-P-22 b,3.21222,0.0414094,12.105699189413777,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,b,HAT-P-22
HAT-P-12 b,3.2130598,0.0383737,10.749412520970195,Hartman 2009,http://adsabs.harvard.edu/abs/2009ApJ...706..785H,b,HAT-P-12
Kepler-4 b,3.21346,0.0455763,4.001606120945109,Borucki 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.126B,b,Kepler-4
Kepler-6 b,3.234723,0.0456089,14.829481507031874,Dunham 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.136D,b,Kepler-6
alpha Cen B b,3.2357,0.0418506,,Dumusque 2012,http://adsabs.harvard.edu/abs/2012Natur.491..207D,b,alpha Cen B
Kepler-44 b,3.24674,0.0454854,13.899136106363963,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,b,Kepler-44
HAT-P-28 b,3.257215,0.0433674,13.58528464589768,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,b,HAT-P-28
tau Boo b,3.312433,0.0480039,,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B,b,tau Boo
GJ 3470 b,3.33714,0.0356123,4.196250071337859,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B,b,GJ 3470
WTS-1 b,3.352059,0.0465809,16.701381289098634,Cappetta 2012,http://adsabs.harvard.edu/abs/2012MNRAS.427.1877C,b,WTS-1
HAT-P-24 b,3.35524,0.0465021,13.921554067825841,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K,b,HAT-P-24
WASP-6 b,3.361006,0.0428704,13.719792414668945,Gillon 2009,http://adsabs.harvard.edu/abs/2009A%26A...501..785G,b,WASP-6
HD 330075 b,3.38773,0.0392074,,Pepe 2004,http://adsabs.harvard.edu/abs/2004A%26A...423..385P,b,HD 330075
WASP-31 b,3.405909,0.0466223,17.22820338345275,Anderson 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..60A,b,WASP-31
HD 88133 b,3.41587,0.047174,,Fischer 2005,http://adsabs.harvard.edu/abs/2005ApJ...620..481F,b,HD 88133
HD 2638 b,3.4442,0.0435743,,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,b,HD 2638
HATS-1 b,3.446459,0.0444708,14.594092911682162,Penev 2013,http://adsabs.harvard.edu/abs/2013AJ....145....5P,b,HATS-1
HAT-P-33 b,3.474474,0.0502683,20.47880779542497,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,b,HAT-P-33
BD -10 3166 b,3.48777,0.0437823,,Butler 2000,http://adsabs.harvard.edu/abs/2000ApJ...545..504B,b,BD -10 3166
Kepler-18 b,3.504725,0.0447299,2.0000184318213887,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,b,Kepler-18
HD 75289 b,3.509267,0.047858,,Udry 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..590U,b,HD 75289
Kepler-8 b,3.52254,0.0483278,15.905543657201987,Jenkins 2010,http://adsabs.harvard.edu/abs/2010ApJ...724.1108J,b,Kepler-8
HD 209458 b,3.52474859,0.047235,15.233004813345666,Henry 2000 ; Charbonneau 2000,http://adsabs.harvard.edu/abs/2000ApJ...529L..41H ; http://adsabs.harvard.edu/abs/2000ApJ...529L..45C,b,HD 209458
WASP-22 b,3.53269,0.0468682,12.554058418651323,Maxted 2010,http://adsabs.harvard.edu/abs/2010AJ....140.2007M,b,WASP-22
HAT-P-39 b,3.54387,0.0509456,17.609308728304665,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,b,HAT-P-39
Kepler-5 b,3.54846,0.0506416,16.040051425973253,Koch 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.131K,b,Kepler-5
TrES-4 b,3.553945,0.0509243,19.985612643263668,Mandushev 2007,http://adsabs.harvard.edu/abs/2007ApJ...667L.195M,b,TrES-4
WASP-37 b,3.577469,0.0446312,13.002417647888867,Simpson 2011,http://adsabs.harvard.edu/abs/2011AJ....141....8S,b,WASP-37
CoRoT-23 b,3.6313,0.0483417,11.769429767485613,Rouan 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A..54R,b,CoRoT-23
HAT-P-35 b,3.646706,0.0497734,14.930362333610322,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,b,HAT-P-35
HAT-P-25 b,3.652836,0.0465813,13.338687069817029,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...80Q,b,HAT-P-25
WASP-79 b,3.6623817,0.0534741,19.055267242595757,Smalley 2012,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,b,WASP-79
OGLE-TR-211 b,3.67724,0.0512842,15.244213794076606,Udalski 2008,http://adsabs.harvard.edu/abs/2008A%26A...482..299U,b,OGLE-TR-211
WASP-54 b,3.6936411,0.049881,18.528445148241637,Faedi 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..73F,b,WASP-54
Kepler-20 b,3.6961219,0.0453704,1.9082953425001177,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,b,Kepler-20
WASP-11 b,3.722465,0.0436466,10.2001724651542,West 2009 ; Bakos 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..395W ; http://adsabs.harvard.edu/abs/2009ApJ...696.1950B,b,WASP-11
WASP-17 b,3.735433,0.0499354,21.65575077217353,Anderson 2010,http://adsabs.harvard.edu/abs/2010ApJ...709..159A,b,WASP-17
WASP-15 b,3.7521,0.0499436,15.45718442796444,West 2009,http://adsabs.harvard.edu/abs/2009AJ....137.4834W,b,WASP-15
WASP-25 b,3.764825,0.0473714,13.67495649174519,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,b,WASP-25
CoRoT-17 b,3.7681,0.0480499,11.433160345557454,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,b,CoRoT-17
HD 219828 b,3.8334999,0.0515012,,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,b,HD 219828
HAT-P-6 b,3.852985,0.0523738,14.907944372148444,Noyes 2008,http://adsabs.harvard.edu/abs/2008ApJ...673L..79N,b,HAT-P-6
WASP-61 b,3.8559,0.0514489,13.899136106363963,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,b,WASP-61
CoRoT-19 b,3.89713,0.0516604,14.459585142910898,Guenther 2012,http://adsabs.harvard.edu/abs/2012A%26A...537A.136G,b,CoRoT-19
WASP-29 b,3.922727,0.0456587,8.877512738903436,Hellier 2010,http://adsabs.harvard.edu/abs/2010ApJ...723L..60H,b,WASP-29
HAT-P-9 b,3.92289,0.0528645,15.692573023314152,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S,b,HAT-P-9
HD 215497 b,3.93404,0.0465952,,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,b,HD 215497
XO-1 b,3.941534,0.049283,13.518030761512048,McCullough 2006,http://adsabs.harvard.edu/abs/2006ApJ...648.1228M,b,XO-1
HD 76700 b,3.97097,0.0511051,,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,b,HD 76700
OGLE-TR-182 b,3.9791,0.0513517,12.666148225960708,Pont 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..749P,b,OGLE-TR-182
OGLE-TR-111 b,4.0161,0.0468862,11.780638748216553,Pont 2004,http://adsabs.harvard.edu/abs/2004A%26A...426L..15P,b,OGLE-TR-111
HAT-P-19 b,4.008778,0.0466409,12.688566187422584,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...52H,b,HAT-P-19
CoRoT-13 b,4.03519,0.051069,9.919947946880733,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,b,CoRoT-13
CoRoT-5 b,4.0378962,0.0496334,15.558065254542889,Rauer 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..281R,b,CoRoT-5
WASP-39 b,4.055259,0.0485835,14.235405528292125,Faedi 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..40F,b,WASP-39
HD 149143 b,4.072,0.0530508,,Fischer 2006 ; da Silva 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F ; http://adsabs.harvard.edu/abs/2006A%26A...446..717D,b,HD 149143
HD 47186 b,4.0845,0.0498411,,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,b,HD 47186
WASP-66 b,4.086052,0.0546221,15.580483216004765,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,b,WASP-66
HD 102195 b,4.113775,0.0479747,,Ge 2006,http://adsabs.harvard.edu/abs/2006ApJ...648..683G,b,HD 102195
KELT-2 A b,4.1137912,0.0549707,14.414749219987144,Beatty 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..39B,b,KELT-2 A
HAT-P-21 b,4.124481,0.0494951,11.477996268481208,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,b,HAT-P-21
XO-4 b,4.1250828,0.05524,14.907944372148444,McCullough 2008,http://adsabs.harvard.edu/abs/2008arXiv0805.2921M,b,XO-4
HD 125612 c,4.15474,0.0522124,,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,c,HD 125612
WASP-47 b,4.1591399,0.0520112,12.89032784057948,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,b,WASP-47
